text,label
"Qu'est-ce que ""I hate to wait"" en suédois",translate
"Comment dit-on ""I have a headache"" en russe",translate
"Pourriez-vous traduire ""I am feeling sick"" en chinois",translate
"Comment puis-je dire ""Can you please help me"" en espagnol",translate
"Quelle est la traduction de ""Where is the station"" en italien",translate
"Comment dire ""Where is the toilet"" en allemand",translate
Pourriez-vous me dire comment dire «Where can I buy tickets» en français,translate
"Qu'est-ce que ""Where can I find a taxi"" en portugais",translate
"Comment dit-on ""Where is the hospital"" en grec",translate
"Pourriez-vous traduire ""What time is it"" en arabe",translate
"Comment demander ""Do you have a map"" en japonais",translate
"Qu'est-ce que ""How can I get to the city centre"" en danois",translate
"Comment poser cette question ""Can you recommend a good restaurant"" en suédois",translate
"Pourriez-vous traduire ""Can I have a menu please"" en turc",translate
"Comment demander ""Can you call a taxi for me"" en chinois",translate
"Pouvez-vous traduire ""I am lost"" en russe",translate
"Qu'est-ce que ""I don't understand"" en espagnol",translate
"Comment dirais-je ""I don't speak your language"" en italien",translate
"Qu'est-ce que ""I need a doctor"" en allemand",translate
"Pourriez-vous me traduire ""I need to go to the embassy"" en français",translate
"Comment puis-je dire ""Do you speak English"" en néerlandais",translate
"Quelle est la traduction de ""How do I get to the airport"" en portugais",translate
"Comment dire ""Is this the right way to the beach"" en grec",translate
"Qu'est-ce que ""turn left"" en italien",translate
Pourriez-vous me dire comment dire «Où se trouve l'arrêt de bus» en français,translate
"Qu'est-ce que ""tournez à droite"" en japonais",translate
"Comment dit-on ""continuez tout droit"" en danois",translate
"Pourriez-vous traduire ""faites demi-tour"" en suédois",translate
"Comment puis-je dire ""J'adore voyager"" en turc",translate
"Qu'est-ce que ""J'apprends l'espagnol"" en néerlandais",translate
"Comment puis-je dire ""J'apprends la physique"" en néerlandais",translate
"Pourriez-vous traduire ""J'apprends l'économie"" en arabe",translate
"Comment dit-on ""J'apprends la musique"" en portugais",translate
"Pourriez-vous me traduire ""Me pico una abeja"" en anglais",translate
"Qu'est-ce que ""Je mange des pommes"" en allemand",translate
"Comment dit-on ""Je bois du thé"" en français",translate
"Comment puis-je dire ""Je lis un livre"" en chinois",translate
"Quelle est la traduction de ""Je regarde la télé"" en italien",translate
Y a-t-il des avertissements de voyage pour l'Italie en ce moment,travel_alert
Quelle est la situation de voyage actuelle pour la Chine,travel_alert
Y a-t-il des alertes de voyage pour l'Inde,travel_alert
Des avertissements de voyage ont-ils été émis pour la Thaïlande,travel_alert
Y a-t-il une alerte de voyage pour le Brésil actuellement,travel_alert
Est-ce sûr de se rendre en Egypte,travel_alert
Y a-t-il des restrictions de voyage pour l'Australie,travel_alert
Des alertes de voyage ont-elles été émises pour le Canada,travel_alert
Quelle est la situation de voyage actuelle pour le Mexique,travel_alert
Est-il sûr de se rendre en Turquie,travel_alert
Y a-t-il des avertissements de voyage pour la Grèce,travel_alert
Est-ce que la France a des restrictions de voyage en place,travel_alert
Y a-t-il des alertes de voyage pour la Nouvelle-Zélande,travel_alert
Quelle est la situation de voyage actuelle pour l'Espagne,travel_alert
Est-il sécurisé de voyager en Irlande,travel_alert
Y a-t-il un avertissement de voyage pour la Belgique,travel_alert
Puis-je voyager en toute sécurité dans les Philippines,travel_alert
Est-ce sûr de se rendre au Maroc,travel_alert
Y a-t-il des restrictions de voyage pour le Vietnam,travel_alert
Quel est l'état actuel des voyages au Japon,travel_alert
Y a-t-il des alertes de voyage pour l'Argentine,travel_alert
Quelle est la situation actuelle pour les voyages aux Pays-Bas,travel_alert
Y a-t-il des avertissements de voyage pour l'Afrique du Sud,travel_alert
Est-il sûr de se rendre en Russie,travel_alert
Quelle est la situation actuelle pour les voyages en Norvège,travel_alert
Y a-t-il une alerte de voyage pour le Portugal,travel_alert
Y a-t-il des restrictions de voyage pour le Danemark,travel_alert
Est-il sûr de se rendre en Finlande,travel_alert
Y a-t-il des avertissements de voyage pour la Suède,travel_alert
Quelle est la situation actuelle pour les voyages en Suisse,travel_alert
Y a-t-il une alerte de voyage pour l'Autriche,travel_alert
Y a-t-il des restrictions de voyage pour la Pologne,travel_alert
Est-il sûr de se rendre en République Tchèque,travel_alert
Y a-t-il des avertissements de voyage pour la Hongrie,travel_alert
Quelle est la situation actuelle pour les voyages en Islande,travel_alert
Y a-t-il une alerte de voyage pour la Croatie,travel_alert
Y a-t-il des restrictions de voyage pour la Slovénie,travel_alert
Est-il sûr de se rendre en Lituanie,travel_alert
Y a-t-il des avertissements de voyage pour l'Estonie,travel_alert
Y a-t-il une alerte de voyage pour la Lettonie,travel_alert
Quelle est la situation actuelle pour les voyages en Biélorussie,travel_alert
Est-il sûr de se rendre en Bulgarie,travel_alert
Y a-t-il des restrictions de voyage pour l'Albanie,travel_alert
Y a-t-il une alerte de voyage pour la Roumanie,travel_alert
Quelle est la situation actuelle pour les voyages en Macédoine,travel_alert
Est-il sûr de se rendre en Serbie,travel_alert
Y a-t-il des avertissements de voyage pour le Monténégro,travel_alert
Y a-t-il une alerte de voyage pour la Bosnie-Herzégovine,travel_alert
Y a-t-il des restrictions de voyage pour le Kosovo,travel_alert
Est-il sûr de se rendre en Moldavie,travel_alert
Quelle est la situation actuelle pour les voyages en Slovaquie,travel_alert
Y a-t-il une alerte de voyage pour la Géorgie,travel_alert
Y a-t-il des restrictions de voyage pour la Pologne,travel_alert
Est-il sûr de se rendre en Ukraine,travel_alert
Y a-t-il des avertissements de voyage pour la Biélorussie,travel_alert
Y a-t-il des avertissements de voyage pour l'Arménie,travel_alert
Quelle est la situation de voyage actuelle pour le Kirghizistan,travel_alert
Est-il sûr de se rendre en Azerbaïdjan,travel_alert
Y a-t-il une alerte de voyage pour le Tadjikistan,travel_alert
Y a-t-il des restrictions de voyage pour le Turkménistan,travel_alert
Y a-t-il des alertes de voyage pour l'Ouzbékistan,travel_alert
Est-ce sûr de voyager en Afghanistan,travel_alert
Est-ce sûr de se rendre en Iran,travel_alert
Y a-t-il des avertissements de voyage pour l'Irak,travel_alert
Quelle est la situation de voyage actuelle pour la Syrie,travel_alert
Y a-t-il des restrictions de voyage pour la Jordanie,travel_alert
Est-ce sûr de se rendre en Arabie Saoudite,travel_alert
Quelle est la situation de voyage actuelle pour le Yémen,travel_alert
Y a-t-il une alerte de voyage pour les Émirats arabes unis,travel_alert
Y a-t-il des restrictions de voyage pour le Qatar,travel_alert
Est-ce sûr de se rendre au Koweït,travel_alert
Y a-t-il des avertissements de voyage pour le Bahreïn,travel_alert
Y a-t-il une alerte de voyage pour Oman,travel_alert
Quelle est la situation de voyage actuelle pour l'Algérie,travel_alert
Est-il sûr de se rendre au Maroc,travel_alert
Y a-t-il des restrictions de voyage pour la Tunisie,travel_alert
Y a-t-il des avertissements de voyage pour l'Égypte,travel_alert
Quelle est la situation de voyage actuelle pour la Libye,travel_alert
Y a-t-il des restrictions de voyage pour le Soudan,travel_alert
Est-ce sûr de se rendre en Éthiopie,travel_alert
Y a-t-il une alerte de voyage pour la Somalie,travel_alert
Y a-t-il des avertissements de voyage pour l'Érythrée,travel_alert
Est-ce sûr de se rendre au Djibouti,travel_alert
Quelle est la situation de voyage actuelle pour le Kenya,travel_alert
Y a-t-il des avertissements de voyage pour l'Ouganda,travel_alert
Est-ce sûr de se rendre en Tanzanie,travel_alert
Y a-t-il des restrictions de voyage pour le Rwanda,travel_alert
Y a-t-il une alerte de voyage pour le Burundi,travel_alert
Quelle est la situation de voyage actuelle pour le Sénégal,travel_alert
Est-il sûr de se rendre en Gambie,travel_alert
Y a-t-il des restrictions de voyage pour le Mali,travel_alert
Y a-t-il des avertissements de voyage pour le Burkina Faso,travel_alert
Quelle est la situation de voyage actuelle pour le Niger,travel_alert
Est-ce sûr de se rendre au Tchad,travel_alert
Y a-t-il une alerte de voyage pour le Cameroun,travel_alert
Y a-t-il des restrictions de voyage pour le Nigéria,travel_alert
Quelle est la situation de voyage actuelle pour le Bénin,travel_alert
Est-il sûr de se rendre au Togo,travel_alert
Y a-t-il des avertissements de voyage pour le Ghana,travel_alert
Y a-t-il une alerte de voyage pour la Côte d'Ivoire,travel_alert
Quelle est la situation de voyage actuelle pour la Guinée,travel_alert
Y a-t-il des restrictions de voyage pour la Sierra Leone,travel_alert
Est-ce sûr de se rendre au Libéria,travel_alert
Y a-t-il une alerte de voyage pour la Guinée-Bissau,travel_alert
Y a-t-il des avertissements de voyage pour la Mauritanie,travel_alert
Quelle est la situation de voyage actuelle pour le Cap-Vert,travel_alert
Y a-t-il des restrictions de voyage pour Sao Tomé et Principe,travel_alert
Est-ce sûr de se rendre aux Seychelles,travel_alert
Y a-t-il une alerte de voyage pour Madagascar,travel_alert
Est-ce sûr de se rendre en Namibie,travel_alert
Y a-t-il des restrictions de voyage pour le Zimbabwe,travel_alert
Y a-t-il des avertissements de voyage pour la Zambie,travel_alert
Quelle est la situation de voyage actuelle pour Malawi,travel_alert
Est-ce sûr de se rendre au Mozambique,travel_alert
Y a-t-il une alerte de voyage pour le Swaziland,travel_alert
Y a-t-il des restrictions de voyage pour Lesotho,travel_alert
Quelle est la situation de voyage actuelle pour le Botswana,travel_alert
Est-ce sûr de se rendre en Afrique du Sud,travel_alert
Y a-t-il une alerte de voyage pour le Suriname,travel_alert
Y a-t-il des restrictions de voyage pour la Guyane,travel_alert
Quelle est la situation de voyage actuelle pour le Venezuela,travel_alert
Est-ce sûr de se rendre en Colombie,travel_alert
Y a-t-il une alerte de voyage pour l'Equateur,travel_alert
Y a-t-il des restrictions de voyage pour le Pérou,travel_alert
Quelle est la situation de voyage actuelle pour le Brésil,travel_alert
Est-ce sûr de se rendre au Chili,travel_alert
Y a-t-il une alerte de voyage pour la Bolivie,travel_alert
Y a-t-il des restrictions de voyage pour le Paraguay,travel_alert
Quelle est la situation de voyage actuelle pour l'Argentine,travel_alert
Est-ce sûr de se rendre en Uruguay,travel_alert
Y a-t-il une alerte de voyage pour Cuba,travel_alert
Y a-t-il des restrictions de voyage pour la Jamaïque,travel_alert
Quelle est la situation de voyage actuelle pour Haïti,travel_alert
Est-ce sûr de se rendre en République dominicaine,travel_alert
Y a-t-il une alerte de voyage pour Porto Rico,travel_alert
Y a-t-il des restrictions de voyage pour la Guadeloupe,travel_alert
Quelle est l'actualité des voyages pour la Martinique,travel_alert
Est-ce sûr de se rendre aux Bahamas,travel_alert
Y a-t-il une alerte de voyage pour la Barbade,travel_alert
Y a-t-il des restrictions de voyage pour Saint-Vincent-et-les-Grenadines,travel_alert
Quelle est la situation de voyage actuelle pour Sainte-Lucie,travel_alert
Est-ce sûr de se rendre à Antigua-et-Barbuda,travel_alert
Le vol UA123 est-il à l'heure,flight_status
Y a-t-il des retards pour le vol AF456 aujourd'hui,flight_status
A quelle heure atterrit le vol BA789,flight_status
Est-ce que le vol DL321 a quitté l'aéroport,flight_status
Quand est-ce que le vol AA987 est prévu pour décoller,flight_status
Est-ce que le vol QR654 a atterri,flight_status
Mon vol EK238 est-il retardé,flight_status
A quelle heure est prévu l'embarquement pour le vol LX321,flight_status
Est-ce que le vol SQ765 est arrivé à destination,flight_status
Mon vol NH432 a-t-il été annulé,flight_status
A quelle heure décolle le vol LH678,flight_status
Quel est le statut actuel du vol QF789,flight_status
Est-ce que le vol TK345 est à l'heure,flight_status
Mon vol OS876 a-t-il été retardé,flight_status
Est-ce que le vol TK321 a quitté l'aéroport,flight_status
A quelle heure atterrit le vol AA123,flight_status
Est-ce que le vol NH567 est en retard,flight_status
Quand est-ce que le vol BA234 atterrit,flight_status
Est-ce que le vol AC567 a été annulé,flight_status
Le vol AF890 est-il à l'heure,flight_status
A quelle heure est prévu l'embarquement pour le vol ET345,flight_status
A quelle heure atterrit le vol OS567,flight_status
Quel est le statut actuel du vol TK123,flight_status
A quelle heure est prévu le décollage pour le vol SQ987,flight_status
Quel est le statut du vol QR567,flight_status
Est-ce que le vol LX345 a atterri,flight_status
A quelle est prévu l'embarquement pour le vol BA234,flight_status
Est-ce que le vol NH238 a décollé,flight_status
Mon vol LH789 est-il à l'heure,flight_status
Est-ce que le vol QF345 a été annulé,flight_status
Quand est-ce que le vol TK567 atterrit,flight_status
Est-ce que le vol OS987 a déjà décollé,flight_status
Mon vol BA234 a-t-il été retadé,flight_status
Le vol NH345 est-il à l'heure,flight_status
Est-ce que le vol LH789 a déjà décollé,flight_status
Quel est le numéro de la porte d'embarquement pour le vol BA234,flight_status
A quelle heure est prévu l'embarquement pour le vol ET345,flight_status
Est-ce que le vol QR567 a atterri,flight_status
Mon vol TK678 a-t-il été annulé,flight_status
Est-ce que le vol LX234 a quitté l'aéroport,flight_status
A quelle heure est prévu le décollage pour le vol SQ567,flight_status
Le vol BA234 a-t-il décollé,flight_status
Est-ce que le vol QR567 a atterri,flight_status
Quel est le statut actuel du vol ET345,flight_status
Le vol LX234 est-il à l'heure,flight_status
Est-ce que le vol NH567 a atterri,flight_status
Est-ce que le vol LH345 a déjà décollé,flight_status
Quel est le numéro de la porte d'embarquement pour le vol TK567,flight_status
Mon vol OS234 a-t-il été retardé,flight_status
Est-ce que le vol BA345 a quitté l'aéroport,flight_status
A quelle heure est prévu l'embarquement pour le vol LH345,flight_status
A quelle heure atterrit le vol QF567,flight_status
Quel est le numéro du terminal pour le vol BA234,flight_status
Mon vol LH345 a-t-il été annulé,flight_status
Est-ce que le vol TK567 a décollé,flight_status
Quel est le statut actuel du vol LX234,flight_status
Le vol NH567 est-il à l'heure,flight_status
Quand est-ce que le vol OS345 atterrit,flight_status
Est-ce que le vol BA567 a déjà décollé,flight_status
Le vol AC234 est-il à l'heure,flight_status
Est-ce que le vol QF345 a décollé,flight_status
Mon vol TK567 a-t-il été annulé,flight_status
Quand atterrit le vol LX234,flight_status
Le vol NH567 est-il retardé,flight_status
Est-ce que le vol LH345 a quitté l'aéroport,flight_status
A quelle heure décolle le vol BA789,flight_status
Est-ce que le vol QF567 a atterri,flight_status
Mon vol TK987 a-t-il été annulé,flight_status
Quel est le numéro de la porte d'embarquement pour le vol LH345,flight_status
Est-ce que le vol LX234 a atterri,flight_status
Quel est le statut actuel du vol NH567,flight_status
Le vol BA234 est-il retardé,flight_status
Est-ce que le vol QF890 a décollé,flight_status
Mon vol TK567 a-t-il été annulé,flight_status
Quand atterrit le vol LX234,flight_status
Est-ce que le vol OS345 a quitté l'aéroport,flight_status
Le vol BA567 est-il à l'heure,flight_status
A quelle heure décolle le vol QF678,flight_status
Quand atterrit le vol TK345,flight_status
Est-ce que le vol LX987 a décollé,flight_status
A quelle heure est prévu l'embarquement pour le vol NH567,flight_status
Mon vol LH345 a-t-il été retardé,flight_status
Est-ce que le vol QF678 a quitté l'aéroport,flight_status
Quel est le statut actuel du vol TK567,flight_status
Est-ce que le vol LX234 a atterri,flight_status
Quand décolle le vol BA345,flight_status
Mon vol OS567 a-t-il été annulé,flight_status
Quel est le statut du vol LH789,flight_status
Est-ce que le vol QF678 a atterri,flight_status
Quand décolle le vol TK567,flight_status
Mon vol LX234 a-t-il été annulé,flight_status
Est-ce que le vol NH567 a quitté l'aéroport,flight_status
Quel est le statut actuel du vol BA345,flight_status
Est-ce que le vol LH789 a atterri,flight_status
Quand décolle le vol QF678,flight_status
Mon vol TK567 a-t-il été retardé,flight_status
Est-ce que le vol LX234 a quitté l'aéroport,flight_status
Quand décolle le vol BA345,flight_status
Mon vol NH567 a-t-il été annulé,flight_status
Est-ce que le vol LX234 a atterri,flight_status
Quand est-ce que le vol LH789 atterrit,flight_status
Est-ce que le vol BA345 a déjà décollé,flight_status
Est-ce que le vol QF678 a atterri,flight_status
A quelle heure est prévu l'embarquement pour le vol TK567,flight_status
Est-ce que le vol LX234 a quitté l'aéroport,flight_status
Quel est le statut actuel du vol BA345,flight_status
Quand décolle le vol NH567,flight_status
Est-ce que le vol LH345 a atterri,flight_status
Mon vol QF678 a-t-il été retardé,flight_status
Est-ce que le vol BA345 a décollé,flight_status
Quel est le statut actuel du vol LX234,flight_status
Est-ce qu'il y a des retards pour mon vol TK567,flight_status
Est-ce que le vol exiting airport NH567 a décollé,flight_status
A quelle heure atterrit le vol LX234,flight_status
Est-ce que le vol BA345 a quitté l'aéroport,flight_status
Mon vol QF678 a-t-il été annulé,flight_status
Quand décolle le vol LX234,flight_status
Est-ce que le vol NH567 a atterri,flight_status
Quel est le statut actuel du vol BA345,flight_status
Est-ce que le vol LX234 a quitté l'aéroport,flight_status
Quand décolle le vol TK567,flight_status
Mon vol BA345 a-t-il été annulé,flight_status
A quelle heure atterrit le vol QF678,flight_status
Quel est le numéro du terminal pour le vol LX234,flight_status
Est-ce que le vol BA345 a atterri,flight_status
Quel est le numero de la porte d'embarquement pour le vol NH567,flight_status
Est-ce que le vol LX234 a déjà décollé,flight_status
A quelle heure décolle le vol TK567,flight_status
Quel est le statut actuel du vol BA234,flight_status
Est-ce que le vol QF678 a atterri,flight_status
L'avion pour le vol LX234 est-il arrivé à destination,flight_status
Quand est-ce que le vol TK567 atterrit,flight_status
A quelle heure décolle le vol LX234,flight_status
Est-ce que le vol BA567 a atterri,flight_status
Est-ce que le vol NH345 a déjà décollé,flight_status
A quelle heure atterrit le vol TK345,flight_status
Est-ce que le vol LX234 a quitté l'aéroport,flight_status
Le vol BA234 a-t-il atterri,flight_status
Est-ce que le vol QF567 a déjà décollé,flight_status
Mon vol TK567 a-t-il été retardé,flight_status
Est-ce que le vol LX234 a atterri,flight_status
A quelle heure est prévu l'embarquement pour le vol BA345,flight_status
Est-ce que le vol NH567 a quitté l'aéroport,flight_status
Quand atterrit le vol BA345,flight_status
Mon vol QF678 a-t-il été retardé,flight_status
Est-ce que le vol LX234 a quitté l'aéroport,flight_status
Quel est le statut actuel du vol TK345,flight_status
Est-ce que le vol BA234 a atterri,flight_status
Quand décolle le vol NH567,flight_status
A quelle heure est prévu l'embarquement pour le vol LX234,flight_status
Est-ce que le vol BA345 a déjà décollé,flight_status
Mon vol QF345 a-t-il été annulé,flight_status
J'ai perdu mes bagages sur le vol vers Amsterdam,lost_luggage
Je ne peux pas trouver mes sacs après le vol,lost_luggage
"Je suis arrivé à Denver, mais mes bagages ne sont pas là",lost_luggage
Mon sac est introuvable après mon vol Air France,lost_luggage
Mes bagages n'étaient pas sur le carrousel à Atlanta,lost_luggage
J'ai perdu mes bagages lors de mon vol vers Berlin,lost_luggage
J'ai récemment voyagé avec Delta et je ne peux pas trouver mes valises,lost_luggage
Je pense que mes bagages ont été perdus sur le vol KLM à Amsterdam,lost_luggage
J'arrive à peine et mes bagages sont perdus,lost_luggage
Je ne retrouve pas mes affaires après mon vol,lost_luggage
"Je viens d'atterrir à Newark, mais il semble que mes sacs n'aient pas suivi",lost_luggage
Mes bagages n'étaient pas sur le carrousel dans la zone de récupération à Sydney,lost_luggage
Je ne peux pas localiser mes bagages sur le vol Virgin vers Heathrow,lost_luggage
Je suis sûr que mes bagages ont été perdus sur mon vol vers Dublin,lost_luggage
Unknown Airlines a perdu mon sac à main,lost_luggage
Aidez-moi à localiser mes bagages perdus,lost_luggage
J'ai laissé tous mes vêtements sur le vol et je ne peux pas les trouver maintenant,lost_luggage
Mon sac à dos a été perdu lors du vol vers Barcelone,lost_luggage
J'ai perdu mon bagage sur le vol AF847,lost_luggage
"J'étais sur un vol pour Madrid, maintenant je ne peux pas trouver ma valise",lost_luggage
J'ai voyagé sur United et tous mes bagages sont perdus,lost_luggage
Je retourne de RPQ et je ne peux pas localiser mon sac,lost_luggage
Mon bagage a disparu sur le vol pour Melbourne,lost_luggage
J'ai perdu mes affaires sur l'un de vos vols,lost_luggage
Je suis sans bagages après mon vol vers Rome,lost_luggage
J'étais sur un vol Dreamliner et mes bagages n'ont pas atterri avec moi,lost_luggage
Que dois-je voir lorsque je visite Berlin,travel_suggestion
Quels sont les sites touristiques incontournables à Rome,travel_suggestion
Donnez-moi des suggestions d'activités intéressantes à Londres,travel_suggestion
Où dois-je aller si je visite Paris,travel_suggestion
Quelle est la meilleure randonnée dans le parc national de Yosemite,travel_suggestion
Quels sont les incontournables à faire à Sydney,travel_suggestion
Donnez-moi une liste des meilleurs musées à visiter à New York,travel_suggestion
"Je vais à Washington D.C, quelles attractions touristiques dois-je voir",travel_suggestion
Est-ce que vous pouvez me donner une liste de bons restaurants à Los Angeles,travel_suggestion
Qu'y a-t-il à faire à Singapour,travel_suggestion
Pouvez-vous me recommander des parcs naturels à visiter en Colombie,travel_suggestion
"Je visite Amsterdam, quels sont les points d'intérêt majeurs",travel_suggestion
Avez-vous des conseils sur les choses à faire en Nouvelle-Zélande,travel_suggestion
Quels sont les endroits à visiter absolument en Espagne,travel_suggestion
Donnez-moi une liste de choses à faire à Rio de Janeiro,travel_suggestion
Auriez-vous des suggestions d'endroits à visiter en Grèce,travel_suggestion
Quels lieux touristiques dois-je voir à Istanbul,travel_suggestion
Quels sont les sites touristiques à visiter en Suisse,travel_suggestion
Je séjourne au Canada. Quels sont les activités à faire,travel_suggestion
Recommandez-moi des sites touristiques en Chine,travel_suggestion
Quoi faire à Hawaï pour profiter de mon séjour,travel_suggestion
Donnez-moi une liste des meilleurs établissements vinicoles à visiter en France,travel_suggestion
"Je vais à Dubaï, quels sont les sites incontournables",travel_suggestion
Donnez-moi des suggestions de lieux à visiter au Japon,travel_suggestion
Racontez-moi quelques attractions touristiques à San Francisco,travel_suggestion
Quels sont les meilleurs parcs à thème à Orlando,travel_suggestion
Donnez-moi quelques idées de choses à faire en Thaïlande,travel_suggestion
Quels sont les endroits à voir absolument à Milan,travel_suggestion
À quels spectacles de Broadway devrais-je assister à Manhattan,travel_suggestion
Qu'y a-t-il à voir au Portugal,travel_suggestion
Quels musées dois-je visiter à Londres,travel_suggestion
Avez-vous des idées sur ce que l'on peut faire à Mexico City,travel_suggestion
